,instance,candName,targName,conf,realConf
95,"1, comaInst",doc_id,assays_AST,0.0,0
96,"1, comaInst",doc_id,assays_SRI,0.0,0
97,"1, comaInst",doc_id,assays_SRASI,0.0,0
98,"1, comaInst",doc_id,assays_CHEI,0.0,0
99,"1, comaInst",doc_id,assays_CI,0.0,0
100,"1, comaInst",doc_id,assays_BAFO,0.0,0
101,"1, comaInst",doc_id,assays_TII,0.0,0
102,"1, comaInst",assay_category,assays_ASSI,0.0,0
103,"1, comaInst",assay_category,assays_CURB,0.0,0
104,"1, comaInst",assay_category,assays_ASORGA,0.0,0
105,"1, comaInst",assay_category,assays_VARI,0.0,0
106,"1, comaInst",assay_category,assays_ASSSTR,0.0,0
107,"1, comaInst",assay_category,assays_DI,0.0,0
108,"1, comaInst",assay_category,assays_ASSCAT,0.0,1
109,"1, comaInst",assay_category,assays_ASSTTY,0.0,0
110,"1, comaInst",assay_category,assays_ASSUBCELFRA,0.0,0
111,"1, comaInst",assay_category,assays_T,0.0,0
112,"1, comaInst",assay_category,assays_AST,0.0,0
113,"1, comaInst",assay_category,assays_SRI,0.0,0
114,"1, comaInst",assay_category,assays_SRASI,0.0,0
115,"1, comaInst",assay_category,assays_CHEI,0.0,0
116,"1, comaInst",assay_category,assays_CI,0.0,0
117,"1, comaInst",assay_category,assays_BAFO,0.0,0
118,"1, comaInst",assay_category,assays_TII,0.0,0
119,"1, comaInst",assay_test_type,assays_ASSI,0.0,0
120,"1, comaInst",assay_test_type,assays_CURB,0.0,0
121,"1, comaInst",assay_test_type,assays_ASORGA,0.0,0
122,"1, comaInst",assay_test_type,assays_VARI,0.0,0
123,"1, comaInst",assay_test_type,assays_ASSSTR,0.0,0
124,"1, comaInst",assay_test_type,assays_DI,0.0,0
125,"1, comaInst",assay_test_type,assays_ASSCAT,0.0,0
126,"1, comaInst",assay_test_type,assays_ASSTTY,0.0,1
127,"1, comaInst",assay_test_type,assays_ASSUBCELFRA,0.0,0
128,"1, comaInst",assay_test_type,assays_T,0.0,0
129,"1, comaInst",assay_test_type,assays_AST,0.0,0
130,"1, comaInst",assay_test_type,assays_SRI,0.0,0
131,"1, comaInst",assay_test_type,assays_SRASI,0.0,0
132,"1, comaInst",assay_test_type,assays_CHEI,0.0,0
133,"1, comaInst",assay_test_type,assays_CI,0.0,0
134,"1, comaInst",assay_test_type,assays_BAFO,0.0,0
135,"1, comaInst",assay_test_type,assays_TII,0.0,0
136,"1, comaInst",assay_subcellular_fraction,assays_ASSI,0.0,0
137,"1, comaInst",assay_subcellular_fraction,assays_CURB,0.0,0
138,"1, comaInst",assay_subcellular_fraction,assays_ASORGA,0.0,0
139,"1, comaInst",assay_subcellular_fraction,assays_VARI,0.0,0
140,"1, comaInst",assay_subcellular_fraction,assays_ASSSTR,0.0,0
141,"1, comaInst",assay_subcellular_fraction,assays_DI,0.0,0
142,"1, comaInst",assay_subcellular_fraction,assays_ASSCAT,0.0,0
143,"1, comaInst",assay_subcellular_fraction,assays_ASSTTY,0.0,0
144,"1, comaInst",assay_subcellular_fraction,assays_ASSUBCELFRA,0.34170502,1
145,"1, comaInst",assay_subcellular_fraction,assays_T,0.0,0
146,"1, comaInst",assay_subcellular_fraction,assays_AST,0.0,0
147,"1, comaInst",assay_subcellular_fraction,assays_SRI,0.0,0
148,"1, comaInst",assay_subcellular_fraction,assays_SRASI,0.0,0
149,"1, comaInst",assay_subcellular_fraction,assays_CHEI,0.0,0
150,"1, comaInst",assay_subcellular_fraction,assays_CI,0.0,0
151,"1, comaInst",assay_subcellular_fraction,assays_BAFO,0.0,0
152,"1, comaInst",assay_subcellular_fraction,assays_TII,0.0,0
153,"1, comaInst",tid,assays_ASSI,0.0,0
154,"1, comaInst",tid,assays_CURB,0.0,0
155,"1, comaInst",tid,assays_ASORGA,0.0,0
156,"1, comaInst",tid,assays_VARI,0.0,0
157,"1, comaInst",tid,assays_ASSSTR,0.0,0
158,"1, comaInst",tid,assays_DI,0.0,0
159,"1, comaInst",tid,assays_ASSCAT,0.0,0
160,"1, comaInst",tid,assays_ASSTTY,0.0,0
161,"1, comaInst",tid,assays_ASSUBCELFRA,0.0,0
162,"1, comaInst",tid,assays_T,0.0,1
163,"1, comaInst",tid,assays_AST,0.0,0
164,"1, comaInst",tid,assays_SRI,0.0,0
165,"1, comaInst",tid,assays_SRASI,0.0,0
166,"1, comaInst",tid,assays_CHEI,0.0,0
167,"1, comaInst",tid,assays_CI,0.0,0
168,"1, comaInst",tid,assays_BAFO,0.0,0
169,"1, comaInst",tid,assays_TII,0.0,0
170,"1, comaInst",assay_type,assays_ASSI,0.0,0
171,"1, comaInst",assay_type,assays_CURB,0.0,0
172,"1, comaInst",assay_type,assays_ASORGA,0.0,0
173,"1, comaInst",assay_type,assays_VARI,0.0,0
174,"1, comaInst",assay_type,assays_ASSSTR,0.0,0
175,"1, comaInst",assay_type,assays_DI,0.0,0
176,"1, comaInst",assay_type,assays_ASSCAT,0.0,0
177,"1, comaInst",assay_type,assays_ASSTTY,0.0,0
178,"1, comaInst",assay_type,assays_ASSUBCELFRA,0.0,0
179,"1, comaInst",assay_type,assays_T,0.0,0
180,"1, comaInst",assay_type,assays_AST,0.38758463,1
181,"1, comaInst",assay_type,assays_SRI,0.0,0
182,"1, comaInst",assay_type,assays_SRASI,0.0,0
183,"1, comaInst",assay_type,assays_CHEI,0.0,0
184,"1, comaInst",assay_type,assays_CI,0.0,0
185,"1, comaInst",assay_type,assays_BAFO,0.0,0
186,"1, comaInst",assay_type,assays_TII,0.0,0
187,"1, comaInst",description,assays_ASSI,0.0,0
188,"1, comaInst",description,assays_CURB,0.0,0
189,"1, comaInst",description,assays_ASORGA,0.0,0
190,"1, comaInst",description,assays_VARI,0.0,0
191,"1, comaInst",description,assays_ASSSTR,0.0,0
192,"1, comaInst",description,assays_DI,0.0,0
193,"1, comaInst",description,assays_ASSCAT,0.0,0
194,"1, comaInst",description,assays_ASSTTY,0.0,0
195,"1, comaInst",description,assays_ASSUBCELFRA,0.0,0
196,"1, comaInst",description,assays_T,0.0,0
197,"1, comaInst",description,assays_AST,0.0,0
198,"1, comaInst",description,assays_SRI,0.0,0
199,"1, comaInst",description,assays_SRASI,0.0,0
200,"1, comaInst",description,assays_CHEI,0.0,0
201,"1, comaInst",description,assays_CI,0.0,0
202,"1, comaInst",description,assays_BAFO,0.0,0
203,"1, comaInst",description,assays_TII,0.0,0
204,"1, comaInst",assay_tax_id,assays_ASSI,0.0,0
205,"1, comaInst",assay_tax_id,assays_CURB,0.0,0
206,"1, comaInst",assay_tax_id,assays_ASORGA,0.0,0
207,"1, comaInst",assay_tax_id,assays_VARI,0.0,0
208,"1, comaInst",assay_tax_id,assays_ASSSTR,0.0,0
209,"1, comaInst",assay_tax_id,assays_DI,0.0,0
210,"1, comaInst",assay_tax_id,assays_ASSCAT,0.0,0
211,"1, comaInst",assay_tax_id,assays_ASSTTY,0.0,0
212,"1, comaInst",assay_tax_id,assays_ASSUBCELFRA,0.0,0
213,"1, comaInst",assay_tax_id,assays_T,0.0,0
214,"1, comaInst",assay_tax_id,assays_AST,0.0,0
215,"1, comaInst",assay_tax_id,assays_SRI,0.0,0
216,"1, comaInst",assay_tax_id,assays_SRASI,0.0,0
217,"1, comaInst",assay_tax_id,assays_CHEI,0.0,0
218,"1, comaInst",assay_tax_id,assays_CI,0.0,0
219,"1, comaInst",assay_tax_id,assays_BAFO,0.0,0
220,"1, comaInst",assay_tax_id,assays_TII,0.0,0
221,"1, comaInst",assay_tissue,assays_ASSI,0.0,0
222,"1, comaInst",assay_tissue,assays_CURB,0.0,0
223,"1, comaInst",assay_tissue,assays_ASORGA,0.0,0
224,"1, comaInst",assay_tissue,assays_VARI,0.0,0
225,"1, comaInst",assay_tissue,assays_ASSSTR,0.0,0
226,"1, comaInst",assay_tissue,assays_DI,0.0,0
227,"1, comaInst",assay_tissue,assays_ASSCAT,0.0,0
228,"1, comaInst",assay_tissue,assays_ASSTTY,0.0,0
229,"1, comaInst",assay_tissue,assays_ASSUBCELFRA,0.0,0
230,"1, comaInst",assay_tissue,assays_T,0.0,0
231,"1, comaInst",assay_tissue,assays_AST,0.0,0
232,"1, comaInst",assay_tissue,assays_SRI,0.0,0
233,"1, comaInst",assay_tissue,assays_SRASI,0.0,0
234,"1, comaInst",assay_tissue,assays_CHEI,0.0,0
235,"1, comaInst",assay_tissue,assays_CI,0.0,0
236,"1, comaInst",assay_tissue,assays_BAFO,0.0,0
237,"1, comaInst",assay_tissue,assays_TII,0.36193115,0
238,"1, comaInst",assay_cell_type,assays_ASSI,0.0,0
239,"1, comaInst",assay_cell_type,assays_CURB,0.0,0
240,"1, comaInst",assay_cell_type,assays_ASORGA,0.0,0
241,"1, comaInst",assay_cell_type,assays_VARI,0.0,0
242,"1, comaInst",assay_cell_type,assays_ASSSTR,0.0,0
243,"1, comaInst",assay_cell_type,assays_DI,0.0,0
244,"1, comaInst",assay_cell_type,assays_ASSCAT,0.0,0
245,"1, comaInst",assay_cell_type,assays_ASSTTY,0.0,0
246,"1, comaInst",assay_cell_type,assays_ASSUBCELFRA,0.0,0
247,"1, comaInst",assay_cell_type,assays_T,0.0,0
248,"1, comaInst",assay_cell_type,assays_AST,0.0,0
249,"1, comaInst",assay_cell_type,assays_SRI,0.0,0
250,"1, comaInst",assay_cell_type,assays_SRASI,0.0,0
251,"1, comaInst",assay_cell_type,assays_CHEI,0.0,0
252,"1, comaInst",assay_cell_type,assays_CI,0.0,0
253,"1, comaInst",assay_cell_type,assays_BAFO,0.0,0
254,"1, comaInst",assay_cell_type,assays_TII,0.0,0
255,"1, comaInst",relationship_type,assays_ASSI,0.0,0
256,"1, comaInst",relationship_type,assays_CURB,0.0,0
257,"1, comaInst",relationship_type,assays_ASORGA,0.0,0
258,"1, comaInst",relationship_type,assays_VARI,0.0,0
259,"1, comaInst",relationship_type,assays_ASSSTR,0.0,0
260,"1, comaInst",relationship_type,assays_DI,0.0,0
261,"1, comaInst",relationship_type,assays_ASSCAT,0.0,0
262,"1, comaInst",relationship_type,assays_ASSTTY,0.0,0
263,"1, comaInst",relationship_type,assays_ASSUBCELFRA,0.0,0
264,"1, comaInst",relationship_type,assays_T,0.0,0
265,"1, comaInst",relationship_type,assays_AST,0.0,0
266,"1, comaInst",relationship_type,assays_SRI,0.0,0
267,"1, comaInst",relationship_type,assays_SRASI,0.0,0
268,"1, comaInst",relationship_type,assays_CHEI,0.0,0
269,"1, comaInst",relationship_type,assays_CI,0.0,0
270,"1, comaInst",relationship_type,assays_BAFO,0.0,0
271,"1, comaInst",relationship_type,assays_TII,0.0,0
272,"1, comaInst",confidence_score,assays_ASSI,0.0,0
273,"1, comaInst",confidence_score,assays_CURB,0.0,0
274,"1, comaInst",confidence_score,assays_ASORGA,0.0,0
275,"1, comaInst",confidence_score,assays_VARI,0.0,0
276,"1, comaInst",confidence_score,assays_ASSSTR,0.0,0
277,"1, comaInst",confidence_score,assays_DI,0.0,0
278,"1, comaInst",confidence_score,assays_ASSCAT,0.0,0
279,"1, comaInst",confidence_score,assays_ASSTTY,0.0,0
280,"1, comaInst",confidence_score,assays_ASSUBCELFRA,0.0,0
281,"1, comaInst",confidence_score,assays_T,0.0,0
282,"1, comaInst",confidence_score,assays_AST,0.0,0
283,"1, comaInst",confidence_score,assays_SRI,0.0,0
284,"1, comaInst",confidence_score,assays_SRASI,0.0,0
285,"1, comaInst",confidence_score,assays_CHEI,0.0,0
286,"1, comaInst",confidence_score,assays_CI,0.0,0
287,"1, comaInst",confidence_score,assays_BAFO,0.0,0
288,"1, comaInst",confidence_score,assays_TII,0.0,0
289,"2, comaOpt",assay_id,assays_ASSI,0.0,1
290,"2, comaOpt",assay_id,assays_CURB,0.0,0
291,"2, comaOpt",assay_id,assays_ASORGA,0.0,0
292,"2, comaOpt",assay_id,assays_VARI,0.0,0
293,"2, comaOpt",assay_id,assays_ASSSTR,0.0,0
294,"2, comaOpt",assay_id,assays_DI,0.0,0
295,"2, comaOpt",assay_id,assays_ASSCAT,0.0,0
296,"2, comaOpt",assay_id,assays_ASSTTY,0.0,0
297,"2, comaOpt",assay_id,assays_ASSUBCELFRA,0.0,0
298,"2, comaOpt",assay_id,assays_T,0.48354948,0
299,"2, comaOpt",assay_id,assays_AST,0.0,0
300,"2, comaOpt",assay_id,assays_SRI,0.0,0
301,"2, comaOpt",assay_id,assays_SRASI,0.0,0
302,"2, comaOpt",assay_id,assays_CHEI,0.0,0
303,"2, comaOpt",assay_id,assays_CI,0.0,0
304,"2, comaOpt",assay_id,assays_BAFO,0.0,0
305,"2, comaOpt",assay_id,assays_TII,0.0,0
306,"2, comaOpt",curated_by,assays_ASSI,0.0,0
307,"2, comaOpt",curated_by,assays_CURB,0.0,1
308,"2, comaOpt",curated_by,assays_ASORGA,0.0,0
309,"2, comaOpt",curated_by,assays_VARI,0.0,0
310,"2, comaOpt",curated_by,assays_ASSSTR,0.0,0
311,"2, comaOpt",curated_by,assays_DI,0.0,0
312,"2, comaOpt",curated_by,assays_ASSCAT,0.0,0
313,"2, comaOpt",curated_by,assays_ASSTTY,0.0,0
314,"2, comaOpt",curated_by,assays_ASSUBCELFRA,0.0,0
315,"2, comaOpt",curated_by,assays_T,0.0,0
316,"2, comaOpt",curated_by,assays_AST,0.0,0
317,"2, comaOpt",curated_by,assays_SRI,0.0,0
318,"2, comaOpt",curated_by,assays_SRASI,0.0,0
319,"2, comaOpt",curated_by,assays_CHEI,0.0,0
320,"2, comaOpt",curated_by,assays_CI,0.0,0
321,"2, comaOpt",curated_by,assays_BAFO,0.0,0
322,"2, comaOpt",curated_by,assays_TII,0.0,0
323,"2, comaOpt",assay_organism,assays_ASSI,0.0,0
324,"2, comaOpt",assay_organism,assays_CURB,0.0,0
325,"2, comaOpt",assay_organism,assays_ASORGA,0.45168525,1
326,"2, comaOpt",assay_organism,assays_VARI,0.0,0
327,"2, comaOpt",assay_organism,assays_ASSSTR,0.0,0
328,"2, comaOpt",assay_organism,assays_DI,0.0,0
329,"2, comaOpt",assay_organism,assays_ASSCAT,0.0,0
330,"2, comaOpt",assay_organism,assays_ASSTTY,0.0,0
331,"2, comaOpt",assay_organism,assays_ASSUBCELFRA,0.0,0
332,"2, comaOpt",assay_organism,assays_T,0.0,0
333,"2, comaOpt",assay_organism,assays_AST,0.0,0
334,"2, comaOpt",assay_organism,assays_SRI,0.0,0
335,"2, comaOpt",assay_organism,assays_SRASI,0.0,0
336,"2, comaOpt",assay_organism,assays_CHEI,0.0,0
337,"2, comaOpt",assay_organism,assays_CI,0.0,0
338,"2, comaOpt",assay_organism,assays_BAFO,0.0,0
339,"2, comaOpt",assay_organism,assays_TII,0.0,0
340,"2, comaOpt",variant_id,assays_ASSI,0.0,0
341,"2, comaOpt",variant_id,assays_CURB,0.0,0
342,"2, comaOpt",variant_id,assays_ASORGA,0.0,0
343,"2, comaOpt",variant_id,assays_VARI,0.0,1
344,"2, comaOpt",variant_id,assays_ASSSTR,0.0,0
345,"2, comaOpt",variant_id,assays_DI,0.0,0
346,"2, comaOpt",variant_id,assays_ASSCAT,0.0,0
347,"2, comaOpt",variant_id,assays_ASSTTY,0.0,0
348,"2, comaOpt",variant_id,assays_ASSUBCELFRA,0.0,0
349,"2, comaOpt",variant_id,assays_T,0.0,0
350,"2, comaOpt",variant_id,assays_AST,0.0,0
351,"2, comaOpt",variant_id,assays_SRI,0.0,0
352,"2, comaOpt",variant_id,assays_SRASI,0.0,0
353,"2, comaOpt",variant_id,assays_CHEI,0.0,0
354,"2, comaOpt",variant_id,assays_CI,0.0,0
355,"2, comaOpt",variant_id,assays_BAFO,0.0,0
356,"2, comaOpt",variant_id,assays_TII,0.0,0
357,"2, comaOpt",assay_strain,assays_ASSI,0.0,0
358,"2, comaOpt",assay_strain,assays_CURB,0.0,0
359,"2, comaOpt",assay_strain,assays_ASORGA,0.0,0
360,"2, comaOpt",assay_strain,assays_VARI,0.0,0
361,"2, comaOpt",assay_strain,assays_ASSSTR,0.42997807,1
362,"2, comaOpt",assay_strain,assays_DI,0.0,0
363,"2, comaOpt",assay_strain,assays_ASSCAT,0.0,0
364,"2, comaOpt",assay_strain,assays_ASSTTY,0.0,0
365,"2, comaOpt",assay_strain,assays_ASSUBCELFRA,0.0,0
366,"2, comaOpt",assay_strain,assays_T,0.0,0
367,"2, comaOpt",assay_strain,assays_AST,0.0,0
368,"2, comaOpt",assay_strain,assays_SRI,0.0,0
369,"2, comaOpt",assay_strain,assays_SRASI,0.0,0
370,"2, comaOpt",assay_strain,assays_CHEI,0.0,0
371,"2, comaOpt",assay_strain,assays_CI,0.0,0
372,"2, comaOpt",assay_strain,assays_BAFO,0.0,0
373,"2, comaOpt",assay_strain,assays_TII,0.0,0
374,"2, comaOpt",doc_id,assays_ASSI,0.0,0
375,"2, comaOpt",doc_id,assays_CURB,0.0,0
376,"2, comaOpt",doc_id,assays_ASORGA,0.0,0
377,"2, comaOpt",doc_id,assays_VARI,0.0,0
378,"2, comaOpt",doc_id,assays_ASSSTR,0.0,0
379,"2, comaOpt",doc_id,assays_DI,0.0,1
380,"2, comaOpt",doc_id,assays_ASSCAT,0.0,0
381,"2, comaOpt",doc_id,assays_ASSTTY,0.0,0
382,"2, comaOpt",doc_id,assays_ASSUBCELFRA,0.0,0
383,"2, comaOpt",doc_id,assays_T,0.0,0
384,"2, comaOpt",doc_id,assays_AST,0.0,0
385,"2, comaOpt",doc_id,assays_SRI,0.0,0
386,"2, comaOpt",doc_id,assays_SRASI,0.0,0
387,"2, comaOpt",doc_id,assays_CHEI,0.0,0
388,"2, comaOpt",doc_id,assays_CI,0.0,0
389,"2, comaOpt",doc_id,assays_BAFO,0.0,0
390,"2, comaOpt",doc_id,assays_TII,0.0,0
391,"2, comaOpt",assay_category,assays_ASSI,0.0,0
392,"2, comaOpt",assay_category,assays_CURB,0.0,0
393,"2, comaOpt",assay_category,assays_ASORGA,0.0,0
394,"2, comaOpt",assay_category,assays_VARI,0.0,0
395,"2, comaOpt",assay_category,assays_ASSSTR,0.0,0
396,"2, comaOpt",assay_category,assays_DI,0.0,0
397,"2, comaOpt",assay_category,assays_ASSCAT,0.0,1
398,"2, comaOpt",assay_category,assays_ASSTTY,0.0,0
399,"2, comaOpt",assay_category,assays_ASSUBCELFRA,0.0,0
400,"2, comaOpt",assay_category,assays_T,0.0,0
401,"2, comaOpt",assay_category,assays_AST,0.0,0
402,"2, comaOpt",assay_category,assays_SRI,0.0,0
403,"2, comaOpt",assay_category,assays_SRASI,0.0,0
404,"2, comaOpt",assay_category,assays_CHEI,0.0,0
405,"2, comaOpt",assay_category,assays_CI,0.0,0
406,"2, comaOpt",assay_category,assays_BAFO,0.0,0
407,"2, comaOpt",assay_category,assays_TII,0.0,0
408,"2, comaOpt",assay_test_type,assays_ASSI,0.0,0
409,"2, comaOpt",assay_test_type,assays_CURB,0.0,0
410,"2, comaOpt",assay_test_type,assays_ASORGA,0.0,0
411,"2, comaOpt",assay_test_type,assays_VARI,0.0,0
412,"2, comaOpt",assay_test_type,assays_ASSSTR,0.0,0
413,"2, comaOpt",assay_test_type,assays_DI,0.0,0
414,"2, comaOpt",assay_test_type,assays_ASSCAT,0.0,0
415,"2, comaOpt",assay_test_type,assays_ASSTTY,0.0,1
416,"2, comaOpt",assay_test_type,assays_ASSUBCELFRA,0.0,0
417,"2, comaOpt",assay_test_type,assays_T,0.0,0
418,"2, comaOpt",assay_test_type,assays_AST,0.0,0
419,"2, comaOpt",assay_test_type,assays_SRI,0.0,0
420,"2, comaOpt",assay_test_type,assays_SRASI,0.0,0
421,"2, comaOpt",assay_test_type,assays_CHEI,0.0,0
422,"2, comaOpt",assay_test_type,assays_CI,0.0,0
423,"2, comaOpt",assay_test_type,assays_BAFO,0.0,0
424,"2, comaOpt",assay_test_type,assays_TII,0.0,0
425,"2, comaOpt",assay_subcellular_fraction,assays_ASSI,0.0,0
426,"2, comaOpt",assay_subcellular_fraction,assays_CURB,0.0,0
427,"2, comaOpt",assay_subcellular_fraction,assays_ASORGA,0.0,0
428,"2, comaOpt",assay_subcellular_fraction,assays_VARI,0.0,0
429,"2, comaOpt",assay_subcellular_fraction,assays_ASSSTR,0.0,0
430,"2, comaOpt",assay_subcellular_fraction,assays_DI,0.0,0
431,"2, comaOpt",assay_subcellular_fraction,assays_ASSCAT,0.0,0
432,"2, comaOpt",assay_subcellular_fraction,assays_ASSTTY,0.0,0
433,"2, comaOpt",assay_subcellular_fraction,assays_ASSUBCELFRA,0.42713127,1
434,"2, comaOpt",assay_subcellular_fraction,assays_T,0.0,0
435,"2, comaOpt",assay_subcellular_fraction,assays_AST,0.0,0
436,"2, comaOpt",assay_subcellular_fraction,assays_SRI,0.0,0
437,"2, comaOpt",assay_subcellular_fraction,assays_SRASI,0.0,0
438,"2, comaOpt",assay_subcellular_fraction,assays_CHEI,0.0,0
439,"2, comaOpt",assay_subcellular_fraction,assays_CI,0.0,0
440,"2, comaOpt",assay_subcellular_fraction,assays_BAFO,0.0,0
441,"2, comaOpt",assay_subcellular_fraction,assays_TII,0.0,0
442,"2, comaOpt",tid,assays_ASSI,0.0,0
443,"2, comaOpt",tid,assays_CURB,0.0,0
444,"2, comaOpt",tid,assays_ASORGA,0.0,0
445,"2, comaOpt",tid,assays_VARI,0.0,0
446,"2, comaOpt",tid,assays_ASSSTR,0.0,0
447,"2, comaOpt",tid,assays_DI,0.0,0
448,"2, comaOpt",tid,assays_ASSCAT,0.0,0
449,"2, comaOpt",tid,assays_ASSTTY,0.0,0
450,"2, comaOpt",tid,assays_ASSUBCELFRA,0.0,0
451,"2, comaOpt",tid,assays_T,0.0,1
452,"2, comaOpt",tid,assays_AST,0.0,0
453,"2, comaOpt",tid,assays_SRI,0.0,0
454,"2, comaOpt",tid,assays_SRASI,0.0,0
455,"2, comaOpt",tid,assays_CHEI,0.0,0
456,"2, comaOpt",tid,assays_CI,0.0,0
457,"2, comaOpt",tid,assays_BAFO,0.0,0
458,"2, comaOpt",tid,assays_TII,0.0,0
459,"2, comaOpt",assay_type,assays_ASSI,0.0,0
460,"2, comaOpt",assay_type,assays_CURB,0.0,0
