,instance,candName,targName,conf,realConf
170,"1, comaInst",assay_tax_id,assays_assay_tissue,0.0,0
171,"1, comaInst",assay_tax_id,assays_assay_cell_type,0.0,0
172,"1, comaInst",assay_tax_id,assays_assay_subcellular_fraction,0.0,0
173,"1, comaInst",assay_tax_id,assays_tid,0.0,0
174,"1, comaInst",assay_tax_id,assays_relationship_type,0.0,0
175,"1, comaInst",assay_tax_id,assays_confidence_score,0.0,0
176,"1, comaInst",assay_tax_id,assays_curated_by,0.0,0
177,"1, comaInst",assay_tax_id,assays_src_id,0.0,0
178,"1, comaInst",assay_tax_id,assays_src_assay_id,0.0,0
179,"1, comaInst",assay_tax_id,assays_chembl_id,0.0,0
180,"1, comaInst",assay_tax_id,assays_cell_id,0.0,0
181,"1, comaInst",assay_tax_id,assays_bao_format,0.0,0
182,"1, comaInst",assay_tax_id,assays_tissue_id,0.0,0
183,"1, comaInst",assay_tax_id,assays_variant_id,0.0,0
184,"1, comaInst",assay_strain,assays_assay_id,0.0,0
185,"1, comaInst",assay_strain,assays_doc_id,0.0,0
186,"1, comaInst",assay_strain,assays_description,0.0,0
187,"1, comaInst",assay_strain,assays_assay_type,0.0,0
188,"1, comaInst",assay_strain,assays_assay_test_type,0.0,0
189,"1, comaInst",assay_strain,assays_assay_category,0.0,0
190,"1, comaInst",assay_strain,assays_assay_organism,0.0,0
191,"1, comaInst",assay_strain,assays_assay_tax_id,0.0,0
192,"1, comaInst",assay_strain,assays_assay_strain,0.65761536,1
193,"1, comaInst",assay_strain,assays_assay_tissue,0.0,0
194,"1, comaInst",assay_strain,assays_assay_cell_type,0.0,0
195,"1, comaInst",assay_strain,assays_assay_subcellular_fraction,0.0,0
196,"1, comaInst",assay_strain,assays_tid,0.0,0
197,"1, comaInst",assay_strain,assays_relationship_type,0.0,0
198,"1, comaInst",assay_strain,assays_confidence_score,0.0,0
199,"1, comaInst",assay_strain,assays_curated_by,0.0,0
200,"1, comaInst",assay_strain,assays_src_id,0.0,0
201,"1, comaInst",assay_strain,assays_src_assay_id,0.0,0
202,"1, comaInst",assay_strain,assays_chembl_id,0.0,0
203,"1, comaInst",assay_strain,assays_cell_id,0.0,0
204,"1, comaInst",assay_strain,assays_bao_format,0.0,0
205,"1, comaInst",assay_strain,assays_tissue_id,0.0,0
206,"1, comaInst",assay_strain,assays_variant_id,0.0,0
207,"1, comaInst",assay_tissue,assays_assay_id,0.0,0
208,"1, comaInst",assay_tissue,assays_doc_id,0.0,0
209,"1, comaInst",assay_tissue,assays_description,0.0,0
210,"1, comaInst",assay_tissue,assays_assay_type,0.0,0
211,"1, comaInst",assay_tissue,assays_assay_test_type,0.0,0
212,"1, comaInst",assay_tissue,assays_assay_category,0.0,0
213,"1, comaInst",assay_tissue,assays_assay_organism,0.0,0
214,"1, comaInst",assay_tissue,assays_assay_tax_id,0.0,0
215,"1, comaInst",assay_tissue,assays_assay_strain,0.0,0
216,"1, comaInst",assay_tissue,assays_assay_tissue,0.7131712,1
217,"1, comaInst",assay_tissue,assays_assay_cell_type,0.0,0
218,"1, comaInst",assay_tissue,assays_assay_subcellular_fraction,0.0,0
219,"1, comaInst",assay_tissue,assays_tid,0.0,0
220,"1, comaInst",assay_tissue,assays_relationship_type,0.0,0
221,"1, comaInst",assay_tissue,assays_confidence_score,0.0,0
222,"1, comaInst",assay_tissue,assays_curated_by,0.0,0
223,"1, comaInst",assay_tissue,assays_src_id,0.0,0
224,"1, comaInst",assay_tissue,assays_src_assay_id,0.0,0
225,"1, comaInst",assay_tissue,assays_chembl_id,0.0,0
226,"1, comaInst",assay_tissue,assays_cell_id,0.0,0
227,"1, comaInst",assay_tissue,assays_bao_format,0.0,0
228,"1, comaInst",assay_tissue,assays_tissue_id,0.0,0
229,"1, comaInst",assay_tissue,assays_variant_id,0.0,0
230,"1, comaInst",assay_cell_type,assays_assay_id,0.0,0
231,"1, comaInst",assay_cell_type,assays_doc_id,0.0,0
232,"1, comaInst",assay_cell_type,assays_description,0.0,0
233,"1, comaInst",assay_cell_type,assays_assay_type,0.0,0
234,"1, comaInst",assay_cell_type,assays_assay_test_type,0.0,0
235,"1, comaInst",assay_cell_type,assays_assay_category,0.0,0
236,"1, comaInst",assay_cell_type,assays_assay_organism,0.0,0
237,"1, comaInst",assay_cell_type,assays_assay_tax_id,0.0,0
238,"1, comaInst",assay_cell_type,assays_assay_strain,0.0,0
239,"1, comaInst",assay_cell_type,assays_assay_tissue,0.0,0
240,"1, comaInst",assay_cell_type,assays_assay_cell_type,0.6701397,1
241,"1, comaInst",assay_cell_type,assays_assay_subcellular_fraction,0.0,0
242,"1, comaInst",assay_cell_type,assays_tid,0.0,0
243,"1, comaInst",assay_cell_type,assays_relationship_type,0.0,0
244,"1, comaInst",assay_cell_type,assays_confidence_score,0.0,0
245,"1, comaInst",assay_cell_type,assays_curated_by,0.0,0
246,"1, comaInst",assay_cell_type,assays_src_id,0.0,0
247,"1, comaInst",assay_cell_type,assays_src_assay_id,0.0,0
248,"1, comaInst",assay_cell_type,assays_chembl_id,0.0,0
249,"1, comaInst",assay_cell_type,assays_cell_id,0.0,0
250,"1, comaInst",assay_cell_type,assays_bao_format,0.0,0
251,"1, comaInst",assay_cell_type,assays_tissue_id,0.0,0
252,"1, comaInst",assay_cell_type,assays_variant_id,0.0,0
253,"1, comaInst",assay_subcellular_fraction,assays_assay_id,0.0,0
254,"1, comaInst",assay_subcellular_fraction,assays_doc_id,0.0,0
255,"1, comaInst",assay_subcellular_fraction,assays_description,0.0,0
256,"1, comaInst",assay_subcellular_fraction,assays_assay_type,0.0,0
257,"1, comaInst",assay_subcellular_fraction,assays_assay_test_type,0.0,0
258,"1, comaInst",assay_subcellular_fraction,assays_assay_category,0.0,0
259,"1, comaInst",assay_subcellular_fraction,assays_assay_organism,0.0,0
260,"1, comaInst",assay_subcellular_fraction,assays_assay_tax_id,0.0,0
261,"1, comaInst",assay_subcellular_fraction,assays_assay_strain,0.0,0
262,"1, comaInst",assay_subcellular_fraction,assays_assay_tissue,0.0,0
263,"1, comaInst",assay_subcellular_fraction,assays_assay_cell_type,0.0,0
264,"1, comaInst",assay_subcellular_fraction,assays_assay_subcellular_fraction,0.8575899,1
265,"1, comaInst",assay_subcellular_fraction,assays_tid,0.0,0
266,"1, comaInst",assay_subcellular_fraction,assays_relationship_type,0.0,0
267,"1, comaInst",assay_subcellular_fraction,assays_confidence_score,0.0,0
268,"1, comaInst",assay_subcellular_fraction,assays_curated_by,0.0,0
269,"1, comaInst",assay_subcellular_fraction,assays_src_id,0.0,0
270,"1, comaInst",assay_subcellular_fraction,assays_src_assay_id,0.0,0
271,"1, comaInst",assay_subcellular_fraction,assays_chembl_id,0.0,0
272,"1, comaInst",assay_subcellular_fraction,assays_cell_id,0.0,0
273,"1, comaInst",assay_subcellular_fraction,assays_bao_format,0.0,0
274,"1, comaInst",assay_subcellular_fraction,assays_tissue_id,0.0,0
275,"1, comaInst",assay_subcellular_fraction,assays_variant_id,0.0,0
276,"1, comaInst",tid,assays_assay_id,0.0,0
277,"1, comaInst",tid,assays_doc_id,0.0,0
278,"1, comaInst",tid,assays_description,0.0,0
279,"1, comaInst",tid,assays_assay_type,0.0,0
280,"1, comaInst",tid,assays_assay_test_type,0.0,0
281,"1, comaInst",tid,assays_assay_category,0.0,0
282,"1, comaInst",tid,assays_assay_organism,0.0,0
283,"1, comaInst",tid,assays_assay_tax_id,0.0,0
284,"1, comaInst",tid,assays_assay_strain,0.0,0
285,"1, comaInst",tid,assays_assay_tissue,0.0,0
286,"1, comaInst",tid,assays_assay_cell_type,0.0,0
287,"1, comaInst",tid,assays_assay_subcellular_fraction,0.0,0
288,"1, comaInst",tid,assays_tid,0.0,1
289,"1, comaInst",tid,assays_relationship_type,0.0,0
290,"1, comaInst",tid,assays_confidence_score,0.0,0
291,"1, comaInst",tid,assays_curated_by,0.0,0
292,"1, comaInst",tid,assays_src_id,0.0,0
293,"1, comaInst",tid,assays_src_assay_id,0.0,0
294,"1, comaInst",tid,assays_chembl_id,0.0,0
295,"1, comaInst",tid,assays_cell_id,0.0,0
296,"1, comaInst",tid,assays_bao_format,0.0,0
297,"1, comaInst",tid,assays_tissue_id,0.0,0
298,"1, comaInst",tid,assays_variant_id,0.0,0
299,"1, comaInst",relationship_type,assays_assay_id,0.0,0
300,"1, comaInst",relationship_type,assays_doc_id,0.0,0
301,"1, comaInst",relationship_type,assays_description,0.0,0
302,"1, comaInst",relationship_type,assays_assay_type,0.0,0
303,"1, comaInst",relationship_type,assays_assay_test_type,0.0,0
304,"1, comaInst",relationship_type,assays_assay_category,0.0,0
305,"1, comaInst",relationship_type,assays_assay_organism,0.0,0
306,"1, comaInst",relationship_type,assays_assay_tax_id,0.0,0
307,"1, comaInst",relationship_type,assays_assay_strain,0.0,0
308,"1, comaInst",relationship_type,assays_assay_tissue,0.0,0
309,"1, comaInst",relationship_type,assays_assay_cell_type,0.0,0
310,"1, comaInst",relationship_type,assays_assay_subcellular_fraction,0.0,0
311,"1, comaInst",relationship_type,assays_tid,0.0,0
312,"1, comaInst",relationship_type,assays_relationship_type,0.7338239,1
313,"1, comaInst",relationship_type,assays_confidence_score,0.0,0
314,"1, comaInst",relationship_type,assays_curated_by,0.0,0
315,"1, comaInst",relationship_type,assays_src_id,0.0,0
316,"1, comaInst",relationship_type,assays_src_assay_id,0.0,0
317,"1, comaInst",relationship_type,assays_chembl_id,0.0,0
318,"1, comaInst",relationship_type,assays_cell_id,0.0,0
319,"1, comaInst",relationship_type,assays_bao_format,0.0,0
320,"1, comaInst",relationship_type,assays_tissue_id,0.0,0
321,"1, comaInst",relationship_type,assays_variant_id,0.0,0
322,"1, comaInst",confidence_score,assays_assay_id,0.0,0
323,"1, comaInst",confidence_score,assays_doc_id,0.0,0
324,"1, comaInst",confidence_score,assays_description,0.0,0
325,"1, comaInst",confidence_score,assays_assay_type,0.0,0
326,"1, comaInst",confidence_score,assays_assay_test_type,0.0,0
327,"1, comaInst",confidence_score,assays_assay_category,0.0,0
328,"1, comaInst",confidence_score,assays_assay_organism,0.0,0
329,"1, comaInst",confidence_score,assays_assay_tax_id,0.0,0
330,"1, comaInst",confidence_score,assays_assay_strain,0.0,0
331,"1, comaInst",confidence_score,assays_assay_tissue,0.0,0
332,"1, comaInst",confidence_score,assays_assay_cell_type,0.0,0
333,"1, comaInst",confidence_score,assays_assay_subcellular_fraction,0.0,0
334,"1, comaInst",confidence_score,assays_tid,0.0,0
335,"1, comaInst",confidence_score,assays_relationship_type,0.0,0
336,"1, comaInst",confidence_score,assays_confidence_score,0.727609,1
337,"1, comaInst",confidence_score,assays_curated_by,0.0,0
338,"1, comaInst",confidence_score,assays_src_id,0.0,0
339,"1, comaInst",confidence_score,assays_src_assay_id,0.0,0
340,"1, comaInst",confidence_score,assays_chembl_id,0.0,0
341,"1, comaInst",confidence_score,assays_cell_id,0.0,0
342,"1, comaInst",confidence_score,assays_bao_format,0.0,0
343,"1, comaInst",confidence_score,assays_tissue_id,0.0,0
344,"1, comaInst",confidence_score,assays_variant_id,0.0,0
345,"1, comaInst",curated_by,assays_assay_id,0.0,0
346,"1, comaInst",curated_by,assays_doc_id,0.0,0
347,"1, comaInst",curated_by,assays_description,0.0,0
348,"1, comaInst",curated_by,assays_assay_type,0.0,0
349,"1, comaInst",curated_by,assays_assay_test_type,0.0,0
350,"1, comaInst",curated_by,assays_assay_category,0.0,0
351,"1, comaInst",curated_by,assays_assay_organism,0.0,0
352,"1, comaInst",curated_by,assays_assay_tax_id,0.0,0
353,"1, comaInst",curated_by,assays_assay_strain,0.0,0
354,"1, comaInst",curated_by,assays_assay_tissue,0.0,0
355,"1, comaInst",curated_by,assays_assay_cell_type,0.0,0
356,"1, comaInst",curated_by,assays_assay_subcellular_fraction,0.0,0
357,"1, comaInst",curated_by,assays_tid,0.0,0
358,"1, comaInst",curated_by,assays_relationship_type,0.0,0
359,"1, comaInst",curated_by,assays_confidence_score,0.0,0
360,"1, comaInst",curated_by,assays_curated_by,0.74351674,1
361,"1, comaInst",curated_by,assays_src_id,0.0,0
362,"1, comaInst",curated_by,assays_src_assay_id,0.0,0
363,"1, comaInst",curated_by,assays_chembl_id,0.0,0
364,"1, comaInst",curated_by,assays_cell_id,0.0,0
365,"1, comaInst",curated_by,assays_bao_format,0.0,0
366,"1, comaInst",curated_by,assays_tissue_id,0.0,0
367,"1, comaInst",curated_by,assays_variant_id,0.0,0
368,"1, comaInst",src_id,assays_assay_id,0.0,0
369,"1, comaInst",src_id,assays_doc_id,0.0,0
370,"1, comaInst",src_id,assays_description,0.0,0
371,"1, comaInst",src_id,assays_assay_type,0.0,0
372,"1, comaInst",src_id,assays_assay_test_type,0.0,0
373,"1, comaInst",src_id,assays_assay_category,0.0,0
374,"1, comaInst",src_id,assays_assay_organism,0.0,0
375,"1, comaInst",src_id,assays_assay_tax_id,0.0,0
376,"1, comaInst",src_id,assays_assay_strain,0.0,0
377,"1, comaInst",src_id,assays_assay_tissue,0.0,0
378,"1, comaInst",src_id,assays_assay_cell_type,0.0,0
379,"1, comaInst",src_id,assays_assay_subcellular_fraction,0.0,0
380,"1, comaInst",src_id,assays_tid,0.0,0
381,"1, comaInst",src_id,assays_relationship_type,0.0,0
382,"1, comaInst",src_id,assays_confidence_score,0.0,0
383,"1, comaInst",src_id,assays_curated_by,0.0,0
384,"1, comaInst",src_id,assays_src_id,0.6810546,1
385,"1, comaInst",src_id,assays_src_assay_id,0.0,0
386,"1, comaInst",src_id,assays_chembl_id,0.0,0
387,"1, comaInst",src_id,assays_cell_id,0.0,0
388,"1, comaInst",src_id,assays_bao_format,0.0,0
389,"1, comaInst",src_id,assays_tissue_id,0.0,0
390,"1, comaInst",src_id,assays_variant_id,0.0,0
391,"1, comaInst",src_assay_id,assays_assay_id,0.0,0
392,"1, comaInst",src_assay_id,assays_doc_id,0.0,0
393,"1, comaInst",src_assay_id,assays_description,0.0,0
394,"1, comaInst",src_assay_id,assays_assay_type,0.0,0
395,"1, comaInst",src_assay_id,assays_assay_test_type,0.0,0
396,"1, comaInst",src_assay_id,assays_assay_category,0.0,0
397,"1, comaInst",src_assay_id,assays_assay_organism,0.0,0
398,"1, comaInst",src_assay_id,assays_assay_tax_id,0.0,0
399,"1, comaInst",src_assay_id,assays_assay_strain,0.0,0
400,"1, comaInst",src_assay_id,assays_assay_tissue,0.0,0
401,"1, comaInst",src_assay_id,assays_assay_cell_type,0.0,0
402,"1, comaInst",src_assay_id,assays_assay_subcellular_fraction,0.0,0
403,"1, comaInst",src_assay_id,assays_tid,0.0,0
404,"1, comaInst",src_assay_id,assays_relationship_type,0.0,0
405,"1, comaInst",src_assay_id,assays_confidence_score,0.0,0
406,"1, comaInst",src_assay_id,assays_curated_by,0.0,0
407,"1, comaInst",src_assay_id,assays_src_id,0.0,0
408,"1, comaInst",src_assay_id,assays_src_assay_id,0.59928197,1
409,"1, comaInst",src_assay_id,assays_chembl_id,0.0,0
410,"1, comaInst",src_assay_id,assays_cell_id,0.0,0
411,"1, comaInst",src_assay_id,assays_bao_format,0.0,0
412,"1, comaInst",src_assay_id,assays_tissue_id,0.0,0
413,"1, comaInst",src_assay_id,assays_variant_id,0.0,0
414,"1, comaInst",chembl_id,assays_assay_id,0.0,0
415,"1, comaInst",chembl_id,assays_doc_id,0.0,0
416,"1, comaInst",chembl_id,assays_description,0.0,0
417,"1, comaInst",chembl_id,assays_assay_type,0.0,0
418,"1, comaInst",chembl_id,assays_assay_test_type,0.0,0
419,"1, comaInst",chembl_id,assays_assay_category,0.0,0
420,"1, comaInst",chembl_id,assays_assay_organism,0.0,0
421,"1, comaInst",chembl_id,assays_assay_tax_id,0.0,0
422,"1, comaInst",chembl_id,assays_assay_strain,0.0,0
423,"1, comaInst",chembl_id,assays_assay_tissue,0.0,0
424,"1, comaInst",chembl_id,assays_assay_cell_type,0.0,0
425,"1, comaInst",chembl_id,assays_assay_subcellular_fraction,0.0,0
426,"1, comaInst",chembl_id,assays_tid,0.0,0
427,"1, comaInst",chembl_id,assays_relationship_type,0.0,0
428,"1, comaInst",chembl_id,assays_confidence_score,0.0,0
429,"1, comaInst",chembl_id,assays_curated_by,0.0,0
430,"1, comaInst",chembl_id,assays_src_id,0.0,0
431,"1, comaInst",chembl_id,assays_src_assay_id,0.0,0
432,"1, comaInst",chembl_id,assays_chembl_id,0.53089124,1
433,"1, comaInst",chembl_id,assays_cell_id,0.0,0
434,"1, comaInst",chembl_id,assays_bao_format,0.0,0
435,"1, comaInst",chembl_id,assays_tissue_id,0.0,0
436,"1, comaInst",chembl_id,assays_variant_id,0.0,0
437,"1, comaInst",cell_id,assays_assay_id,0.0,0
438,"1, comaInst",cell_id,assays_doc_id,0.0,0
439,"1, comaInst",cell_id,assays_description,0.0,0
440,"1, comaInst",cell_id,assays_assay_type,0.0,0
441,"1, comaInst",cell_id,assays_assay_test_type,0.0,0
442,"1, comaInst",cell_id,assays_assay_category,0.0,0
443,"1, comaInst",cell_id,assays_assay_organism,0.0,0
444,"1, comaInst",cell_id,assays_assay_tax_id,0.0,0
445,"1, comaInst",cell_id,assays_assay_strain,0.0,0
446,"1, comaInst",cell_id,assays_assay_tissue,0.0,0
447,"1, comaInst",cell_id,assays_assay_cell_type,0.0,0
448,"1, comaInst",cell_id,assays_assay_subcellular_fraction,0.0,0
449,"1, comaInst",cell_id,assays_tid,0.0,0
450,"1, comaInst",cell_id,assays_relationship_type,0.0,0
451,"1, comaInst",cell_id,assays_confidence_score,0.0,0
452,"1, comaInst",cell_id,assays_curated_by,0.0,0
